Tyto alba|Barn Owl
Athene noctua|Little Owl
Botaurus stellaris|Great Bittern
Columba palumbus|Common Woodpigeon
Corvus corone|Carrion Crow
Erithacus rubecula|European Robin
Cyanistes caeruleus|Eurasian Blue Tit
Corvus monedula|Eurasian Jackdaw
Larus argentatus|Herring Gull
Chroicocephalus ridibundus|Black-headed Gull
Pica pica|Common Magpie
Sturnus vulgaris|Common Starling
Anas platyrhynchos|Mallard
Parus major|Great Tit
Phalacrocorax carbo|Great Cormorant
Hirundo rustica|Barn Swallow
Motacilla alba|Pied Wagtail/White Wagtail
Ardea cinerea|Grey Heron
Turdus merula|Eurasian Blackbird
Carduelis carduelis|European Goldfinch
Troglodytes troglodytes|Eurasian Wren
Phylloscopus collybita|Common Chiffchaff
Fringilla coelebs|Common Chaffinch
Falco tinnunculus|Common Kestrel
Passer domesticus|House Sparrow
Buteo buteo|Common Buzzard
Prunella modularis|Dunnock
Gallinula chloropus|Common Moorhen
Anthus pratensis|Meadow Pipit
Cygnus olor|Mute Swan
Fulica atra|Eurasian Coot
Vanellus vanellus|Northern Lapwing
Anser anser|Greylag Goose
Linaria cannabina|Common Linnet
Larus fuscus|Lesser Black-backed Gull
Anas crecca|Eurasian/Green-winged Teal
Columba livia|Rock Dove
Larus marinus|Great Black-backed Gull
Streptopelia decaocto|Collared Dove
Numenius arquata|Eurasian Curlew
Garrulus glandarius|Eurasian Jay
Branta canadensis|Canada Goose
Corvus frugilegus|Rook
Haematopus ostralegus|Eurasian Oystercatcher
Egretta garzetta|Little Egret
Spatula clypeata|Northern Shoveler
Columba oenas|Stock Dove
Tringa totanus|Common Redshank
Dendrocopos major|Great Spotted Woodpecker
Calidris alpina|Dunlin
Phasianus colchicus|Common Pheasant
Aegithalos caudatus|Long-tailed Tit
Mareca penelope|Eurasian Wigeon
Mareca strepera|Gadwall
Podiceps cristatus|Great Crested Grebe
Accipiter nisus|Eurasian Sparrowhawk
Aythya fuligula|Tufted Duck
Tachybaptus ruficollis|Little Grebe
Delichon urbicum|Western House Martin
Gallinago gallinago|Common Snipe
Charadrius hiaticula|Common Ringed Plover
Regulus regulus|Goldcrest
Chloris chloris|European Greenfinch
Sylvia atricapilla|Eurasian Blackcap
Emberiza schoeniclus|Common Reed Bunting
Turdus philomelos|Song Thrush
Larus canus|Common Gull
Circus aeruginosus|Western Marsh Harrier
Tringa nebularia|Common Greenshank
Tadorna tadorna|Common Shelduck
Thalasseus sandvicensis|Sandwich Tern
Limosa limosa|Black-tailed Godwit
Saxicola rubicola|European Stonechat
Motacilla cinerea|Grey Wagtail
Alauda arvensis|Eurasian Skylark
Sitta europaea|Eurasian Nuthatch
Picus viridis|Eurasian Green Woodpecker
Ardea alba|Great White Egret
Periparus ater|Coal Tit
Limosa lapponica|Bar-tailed Godwit
Alopochen aegyptiaca|Egyptian Goose
Alcedo atthis|Common Kingfisher
Motacilla flava|Western Yellow Wagtail
